Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
2388 1690.80  5679.15 202.5206909 47.2080383    6.78    3.17 
2389 3557.27  5679.11 202.4825287 47.2080460    6.72    3.41 
2390 3589.70  5681.31 202.4818573 47.2080765    6.88    3.20 
2391 5715.92  5680.64 202.4383850 47.2080650    8.06    3.77 
2392 5406.80  5684.11 202.4447174 47.2081146    8.26    4.29 
2393 3886.25  5684.88 202.4757996 47.2081261    9.44    4.97 
2394 1638.97  5686.37 202.5217438 47.2081375    6.96    3.76 
2395 3729.95  5686.54 202.4790039 47.2081490    6.56    3.85 
2396 6877.26  5685.54 202.4146423 47.2081223    9.26    5.25 
2397 4008.59  5687.40 202.4732971 47.2081642    8.71    4.46 
2398 3090.58  5689.73 202.4920654 47.2081947    6.64    2.80 
2399 6119.36  5690.13 202.4301453 47.2081947    8.06    4.16 
2400 3526.53  5693.43 202.4831543 47.2082443    6.74    3.22 
2401 3510.13  5698.29 202.4834900 47.2083130   10.28    5.55 
2402 5646.27  5700.51 202.4398193 47.2083397    6.88    3.26 
2403 5465.85  5702.70 202.4435120 47.2083702    6.72    2.93 
2404 5571.86  5702.52 202.4413300 47.2083702    7.14    3.30 
2405 5684.09  5702.37 202.4390411 47.2083664    6.86    3.66 
2406 1620.87  5705.21 202.5221252 47.2084007    6.78    3.16 
2407 1741.79  5705.78 202.5196533 47.2084084    7.12    3.98 
2408 4863.85  5707.05 202.4558105 47.2084351    6.86    3.50 
2409 1486.02  5710.93 202.5248718 47.2084770    7.74    3.78 
2410 5233.34  5710.83 202.4482574 47.2084846    8.46    4.42 
2411 5353.88  5712.17 202.4458008 47.2085037    8.36    4.49 
2412 3705.12  5714.48 202.4795074 47.2085381    6.78    3.81 
2413 1500.66  5715.93 202.5245819 47.2085457    6.78    2.81 
2414 1158.39  5721.47 202.5315704 47.2086220    8.86    4.35 
2415 4114.91  5722.43 202.4711304 47.2086487    6.78    3.05 
2416 1714.43  5726.75 202.5202026 47.2086983    7.00    4.07 
2417 5734.32  5727.00 202.4380188 47.2087097    6.94    3.46 
2418 7035.62  5727.59 202.4114075 47.2087059    8.61    4.51 
2419 4903.72  5728.69 202.4550018 47.2087364    6.48    3.77 
2420 6867.98  5733.27 202.4148407 47.2087860    8.41    4.29 
2421 4222.78  5735.03 202.4689178 47.2088242    6.60    3.31 
2422 1769.53  5738.90 202.5190735 47.2088699    6.74    2.99 
2423 3791.52  5740.56 202.4777374 47.2089005    6.76    3.14 
2424 2166.94  5742.33 202.5109558 47.2089195    8.81    4.66 
2425 2964.30  5742.16 202.4946442 47.2089195    7.51    3.79 
2426 1717.44  5742.62 202.5201416 47.2089195    6.96    3.86 
2427 1570.97  5746.30 202.5231323 47.2089691    7.60    3.86 
2428 4680.20  5747.35 202.4595642 47.2089958    6.78    3.30 
2429 1495.71  5749.92 202.5246735 47.2090187    8.06    4.60 
2430 4186.64  5749.75 202.4696655 47.2090302    6.78    3.22 
2431 3368.62  5752.68 202.4863892 47.2090683    8.61    4.20 
2432 4835.72  5752.65 202.4563904 47.2090683    6.78    3.41 
2433 1302.99  5753.88 202.5286255 47.2090721    8.01    4.52 
2434 4734.06  5753.54 202.4584656 47.2090797    8.06    4.89 
2435 1383.28  5757.93 202.5269775 47.2091293    8.06    3.85 
2436 5584.11  5758.40 202.4410858 47.2091446    8.31    4.34 
2437 7062.94  5758.68 202.4108429 47.2091370    9.01    4.49 
2438 1662.11  5762.71 202.5212708 47.2091980    6.84    3.22 
2439 5441.41  5763.04 202.4440002 47.2092094    6.76    3.78 
2440 1678.00  5765.27 202.5209503 47.2092323    6.88    4.51 
2441 1459.30  5766.39 202.5254211 47.2092476    6.84    3.44 
2442 2681.42  5766.46 202.5004425 47.2092590    8.46    4.84 
2443 1748.09  5767.75 202.5195160 47.2092705    8.36    4.32 
2444 2244.69  5768.18 202.5093689 47.2092781    6.78    4.65 
2445 2418.11  5771.91 202.5058136 47.2093315    6.50    3.46 
2446 1692.89  5775.01 202.5206451 47.2093697    6.68    2.71 
2447 6355.64  5775.13 202.4253082 47.2093735    8.06    4.29 
2448 3905.96  5775.86 202.4754028 47.2093925    6.68    4.11 
2449 5474.14  5777.93 202.4433289 47.2094154    6.00    4.54 
2450 3818.66  5783.04 202.4771881 47.2094917    6.90    3.25 
2451 5421.10  5783.39 202.4444122 47.2094917    6.76    3.27 
2452 5456.34  5783.16 202.4436951 47.2094879    6.58    3.81 
2453  998.23  5785.54 202.5348511 47.2095070    6.78    3.40 
2454 2439.98  5785.39 202.5053711 47.2095184    6.72    3.21 
2455 1769.86  5785.42 202.5190735 47.2095146    6.46    3.11 
2456 1916.00  5791.24 202.5160828 47.2095947    7.96    4.92 
2457 3513.11  5795.91 202.4834290 47.2096710    6.78    3.28 
2458 1103.13  5797.98 202.5326996 47.2096825    6.92    3.39 
2459 1955.65  5797.77 202.5152740 47.2096863    6.00    3.48 
2460 1519.64  5798.85 202.5241852 47.2096977    7.91    4.45 
2461 3988.98  5798.78 202.4736938 47.2097092    6.76    3.43 
2462 3464.00  5800.75 202.4844360 47.2097359    6.78    3.01 
2463 5476.11  5800.17 202.4432983 47.2097244    6.58    3.32 
2464 1311.39  5804.55 202.5284424 47.2097740    8.91    4.40 
2465 1435.10  5804.97 202.5259247 47.2097816    6.82    3.05 
2466 1628.56  5805.32 202.5219574 47.2097893    6.68    2.83 
2467 1906.32  5805.20 202.5162811 47.2097893    6.58    2.73 
2468 5336.29  5805.55 202.4461517 47.2098007    7.96    3.92 
2469 5362.43  5806.65 202.4456177 47.2098160    8.06    3.87 
2470 6685.58  5809.04 202.4185638 47.2098389    8.06    4.76 
2471 3692.56  5809.53 202.4797668 47.2098579    6.88    3.22 
2472 4682.49  5809.90 202.4595184 47.2098656    6.78    3.59 
2473 4616.15  5810.97 202.4608765 47.2098770    8.06    5.18 
2474 6199.84  5811.14 202.4284973 47.2098732    8.06    4.03 
2475 4247.18  5812.39 202.4684143 47.2098999    6.64    3.58 
2476 5266.90  5812.99 202.4475708 47.2099037    6.46    3.49 
2477 1257.69  5813.94 202.5295410 47.2099037    8.06    4.45 
2478 1660.57  5813.93 202.5213013 47.2099075    6.88    3.24 
2479 5865.23  5814.41 202.4353333 47.2099228    8.06    4.46 
2480 6999.65  5817.12 202.4121399 47.2099495    6.78    2.94 
2481 1551.46  5820.30 202.5235443 47.2099953    8.06    4.48 
2482 1576.65  5820.41 202.5230255 47.2099991    6.86    3.04 
2483 3832.22  5820.51 202.4768982 47.2100105    6.84    4.59 
2484 4278.15  5820.32 202.4677887 47.2100105    7.72    3.88 
2485 5169.02  5826.23 202.4495697 47.2100906    6.88    4.16 
2486 1758.44  5827.16 202.5193024 47.2100945    6.84    3.31 
2487 3496.64  5827.58 202.4837646 47.2101097    6.72    3.86 
2488 2470.04  5829.72 202.5047607 47.2101364    6.70    3.23 
2489 7406.22  5830.32 202.4038239 47.2101288    8.66    4.51 
2490 5281.56  5832.17 202.4472656 47.2101707    6.78    3.06 
2491 5200.30  5832.34 202.4489288 47.2101746    6.76    3.88 
2492 3962.65  5834.91 202.4742432 47.2102127   10.28    5.57 
2493 4346.47  5839.27 202.4663849 47.2102737    8.06    3.90 
2494 3753.36  5840.17 202.4785156 47.2102852    6.44    3.68 
2495 3715.85  5842.91 202.4792786 47.2103233    7.96    4.11 
2496 3515.99  5845.02 202.4833679 47.2103500    6.70    3.96 
2497 2887.81  5847.21 202.4962158 47.2103806    6.86    3.11 
2498 5260.41  5846.98 202.4477081 47.2103767    6.78    3.81 
2499 1510.70  5848.84 202.5243683 47.2103920    8.36    4.45 
2500 4730.29  5848.94 202.4585419 47.2104073    6.74    3.89 
2501 4050.27  5851.56 202.4724426 47.2104416    8.96    4.39 
2502 6727.65  5852.97 202.4177094 47.2104492    8.06    3.82 
2503 7018.92  5853.02 202.4117432 47.2104492    6.78    3.08 
2504 1321.49  5854.96 202.5282440 47.2104759    7.86    3.91 
2505 3490.79  5856.37 202.4838867 47.2105103    6.72    3.32 
2506 3767.52  5856.18 202.4782257 47.2105064    6.00    3.96 
2507 1551.23  5857.96 202.5235443 47.2105217    6.96    3.59 
2508 1919.06  5859.75 202.5160217 47.2105484    6.00    3.76 
2509 2264.09  5860.39 202.5089722 47.2105598    6.52    3.02 
2510 3714.25  5861.20 202.4793243 47.2105751    6.98    3.63 
2511 2965.83  5862.19 202.4946136 47.2105865    6.82    3.27 
2512  687.95  5863.72 202.5411987 47.2105904    8.36    4.21 
2513 5490.24  5866.55 202.4430084 47.2106476    7.18    3.89 
2514 2850.74  5868.25 202.4969788 47.2106705    6.82    3.65 
2515 3902.84  5869.05 202.4754639 47.2106857    8.06    3.87 
2516 5474.58  5869.95 202.4433289 47.2106934    8.71    4.26 
2517 3469.89  5870.07 202.4843140 47.2107010    6.56    3.24 
2518 5388.15  5871.09 202.4450989 47.2107124    7.24    3.88 
2519 3290.42  5877.65 202.4879913 47.2108040    8.06    4.18 
2520 4111.35  5880.09 202.4711914 47.2108383    6.20    4.27 
2521 5267.49  5880.08 202.4475555 47.2108383    7.00    3.87 
2522 5093.50  5881.17 202.4511108 47.2108536    8.71    4.25 
2523 1309.19  5886.82 202.5284882 47.2109184 -999.   -999.   
2524 5189.13  5882.79 202.4491577 47.2108765    7.65    3.80 
2525 3127.04  5883.92 202.4913177 47.2108917    8.11    3.98 
2526 3968.39  5886.56 202.4741211 47.2109299    8.06    4.23 
2527 3734.88  5893.54 202.4788971 47.2110252    6.84    4.33 
2528 5592.58  5893.61 202.4409180 47.2110214    6.84    4.10 
2529 2414.31  5896.31 202.5059052 47.2110596    6.00    3.79 
2530 3858.31  5899.31 202.4763794 47.2111053    6.32    3.75 
2531 1793.66  5900.88 202.5185852 47.2111168    6.84    2.98 
2532 4017.05  5902.30 202.4731293 47.2111473    6.70    3.79 
2533 4261.76  5902.91 202.4681244 47.2111549    6.48    3.52 
2534 4072.58  5903.69 202.4719849 47.2111664    6.38    4.27 
2535 2340.60  5905.98 202.5074005 47.2111931    7.63    3.97 
2536 1637.25  5914.31 202.5217896 47.2113037    8.06    4.27 
2537 5266.19  5913.83 202.4475861 47.2113037    6.50    3.31 
2538 4455.98  5914.54 202.4641571 47.2113190    6.76    3.75 
2539 6931.58  5914.54 202.4135284 47.2113037    8.06    3.96 
2540 6708.00  5915.87 202.4181061 47.2113228    8.61    4.60 
2541 3431.84  5917.44 202.4850922 47.2113571    6.90    3.10 
2542 1856.63  5920.09 202.5173035 47.2113838    6.46    3.31 
2543 4183.31  5919.88 202.4697266 47.2113914    8.46    4.12 
2544 6906.81  5919.89 202.4140472 47.2113762    8.41    4.07 
2545 4029.97  5922.30 202.4728699 47.2114258    6.78    3.10 
2546 6740.09  5922.91 202.4174500 47.2114220    8.31    4.07 
2547 4859.05  5924.91 202.4559174 47.2114601    9.57    5.83 
2548 5133.57  5926.37 202.4503021 47.2114792    7.51    4.00 
2549 3345.40  5931.42 202.4868622 47.2115517    8.31    4.11 
2550 4848.96  5936.50 202.4561157 47.2116203    6.00    4.32 
2551 1245.94  5937.33 202.5297852 47.2116203    6.76    3.09 
2552 1630.74  5936.73 202.5219269 47.2116165    6.82    3.34 
2553  373.84  5937.64 202.5476227 47.2116127    8.61    4.58 
2554 4594.00  5942.64 202.4613342 47.2117081    8.01    5.21 
2555 4660.97  5946.14 202.4599609 47.2117577    6.78    4.27 
2556 5969.46  5947.62 202.4332123 47.2117691    6.78    3.06 
2557 3811.10  5950.00 202.4773407 47.2118111    7.96    4.42 
2558 1421.67  5953.63 202.5261993 47.2118492    6.88    3.40 
2559 1262.96  5958.08 202.5294342 47.2119064    8.91    4.55 
2560 3454.45  5958.70 202.4846344 47.2119293    7.26    4.23 
2561 2235.78  5960.34 202.5095520 47.2119484    8.06    3.82 
2562 2202.86  5961.94 202.5102234 47.2119713    8.06    3.94 
2563 4140.43  5966.64 202.4705963 47.2120399    6.78    3.10 
2564 4332.55  5966.07 202.4666748 47.2120323    6.00    4.72 
2565 4652.50  5968.78 202.4601288 47.2120705    6.74    3.16 
2566 1157.27  5970.97 202.5316010 47.2120857    8.36    5.26 
2567 1521.96  5972.12 202.5241394 47.2121048    6.80    3.30 
2568 1477.95  5973.29 202.5250397 47.2121201    7.74    4.02 
2569 3351.36  5974.01 202.4867401 47.2121429    6.90    3.35 
2570 4191.20  5975.18 202.4695587 47.2121582    6.56    3.53 
2571 1589.94  5986.00 202.5227509 47.2122993    8.56    4.07 
2572 2307.47  5986.23 202.5080872 47.2123070    8.06    4.47 
2573 6949.41  5985.66 202.4131622 47.2122917    8.06    4.15 
2574 4614.17  5989.24 202.4609222 47.2123566    6.54    3.35 
2575 6742.37  5990.10 202.4174042 47.2123528    8.36    4.80 
2576 4301.95  5994.40 202.4673004 47.2124252    6.38    4.35 
2577 2365.98  5996.48 202.5068817 47.2124519    7.68    4.34 
2578 4466.09  5998.64 202.4639435 47.2124863    7.59    4.19 
2579 4769.00  5998.65 202.4577484 47.2124863    7.91    4.09 
2580 4874.27  5998.68 202.4555969 47.2124863    9.11    5.36 
2581 1587.50  6002.49 202.5228119 47.2125282    6.64    2.87 
2582 3997.62  6002.10 202.4735260 47.2125320    8.06    4.03 
2583 5646.96  6002.54 202.4398041 47.2125359    8.81    4.62 
2584 2068.40  6006.63 202.5129700 47.2125893    6.74    2.84 
2585 5761.40  6006.02 202.4374542 47.2125816    8.61    4.73 
2586 3741.84  6007.29 202.4787598 47.2126045    6.76    3.17 
2587 4631.92  6006.74 202.4605560 47.2125969    6.58    3.14 
2588 1941.45  6009.10 202.5155640 47.2126236    6.80    3.72 
2589 3872.27  6009.50 202.4760895 47.2126350    8.11    4.16 
2590 5392.39  6008.52 202.4450073 47.2126198   10.30    5.80 
2591 2187.56  6009.61 202.5105286 47.2126312    6.78    2.98 
2592 4294.15  6010.98 202.4674683 47.2126579    6.46    4.42 
2593 4314.36  6012.09 202.4670410 47.2126732    6.56    3.76 
2594 3855.41  6014.93 202.4764252 47.2127113    6.86    3.41 
2595 5183.21  6016.07 202.4492798 47.2127266    8.26    4.24 
2596 3548.82  6018.14 202.4826965 47.2127571    8.06    3.91 
2597 6820.14  6018.48 202.4158173 47.2127495    8.26    3.89 
2598 4004.68  6020.29 202.4733734 47.2127876    6.84    3.38 
2599 4673.23  6020.76 202.4597168 47.2127914    6.78    3.11 
2600 1497.47  6022.45 202.5246429 47.2128029    8.06    3.79 
2601 4623.04  6023.96 202.4607391 47.2128372    6.72    3.72 
2602 1365.81  6026.33 202.5273438 47.2128563    7.63    3.86 
2603 4290.90  6026.66 202.4675293 47.2128754    6.52    4.55 
2604 5997.71  6027.07 202.4326324 47.2128754    8.66    4.37 
2605 2048.43  6029.68 202.5133820 47.2129097    6.78    3.35 
2606 4315.35  6028.34 202.4670258 47.2128983    6.54    3.64 
2607 2208.19  6034.36 202.5101166 47.2129745    6.96    3.66 
2608 3815.75  6035.15 202.4772491 47.2129936    6.88    3.93 
2609 4932.42  6035.46 202.4544067 47.2129974    8.01    4.57 
2610 6033.88  6038.25 202.4318848 47.2130280    8.06    3.94 
2611 4048.61  6040.52 202.4724884 47.2130661    6.76    3.59 
2612 2126.03  6042.51 202.5117950 47.2130890    6.46    3.71 
2613 1203.79  6044.78 202.5306549 47.2131119    6.78    3.00 
2614 3788.33  6048.98 202.4777985 47.2131844    6.84    4.31 
2615 1766.19  6051.06 202.5191498 47.2132034    6.86    4.47 
2616 2900.67  6051.45 202.4959564 47.2132149    9.68    5.36 
2617 4164.71  6052.30 202.4701080 47.2132301    6.78    3.01 
2618 2057.61  6053.45 202.5131989 47.2132378    8.01    4.44 
2619 4366.67  6052.48 202.4659729 47.2132339    6.98    3.39 
2620 4244.57  6054.27 202.4684753 47.2132568    6.78    2.92 
2621 4224.82  6055.21 202.4688721 47.2132721    6.82    3.49 
2622 6896.44  6057.40 202.4142456 47.2132874    8.06    4.38 
2623 4792.57  6058.07 202.4572754 47.2133102    8.06    4.45 
2624 2752.87  6059.95 202.4989777 47.2133331    6.86    3.51 
2625 1147.71  6061.00 202.5317993 47.2133369    6.00    4.12 
2626 6216.82  6062.08 202.4281464 47.2133598    8.46    4.35 
2627 3912.90  6072.47 202.4752502 47.2135124    6.64    3.63 
2628 4340.52  6072.37 202.4665070 47.2135086    6.00    3.93 
2629 2172.86  6073.90 202.5108337 47.2135239    6.70    3.12 
2630 5010.92  6073.61 202.4528046 47.2135239    8.71    4.41 
2631 1619.68  6074.93 202.5221405 47.2135353    6.78    2.97 
2632 5300.31  6076.76 202.4468842 47.2135696    8.76    4.46 
2633 4168.50  6081.09 202.4700317 47.2136307    6.72    2.85 
2634 2408.90  6083.33 202.5060120 47.2136574    6.54    3.30 
2635 2842.99  6084.67 202.4971313 47.2136765    7.51    3.83 
2636 4444.04  6084.98 202.4644012 47.2136841    8.46    4.70 
2637 4564.87  6086.30 202.4619293 47.2137032    7.81    4.12 
2638 4968.94  6087.06 202.4536591 47.2137108    7.14    3.78 
2639 2235.89  6090.18 202.5095520 47.2137489    6.72    3.27 
2640 3703.38  6094.24 202.4795380 47.2138138    6.74    2.78 
2641 4648.25  6093.88 202.4602203 47.2138100    8.61    4.62 
2642 6154.68  6098.43 202.4294128 47.2138634    8.61    4.72 
2643 6569.83  6108.29 202.4209290 47.2139969    8.21    4.10 
2644 1428.38  6116.65 202.5260620 47.2141113    7.76    4.09 
2645 5620.26  6116.72 202.4403381 47.2141228    6.68    2.96 
2646 2437.28  6120.08 202.5054321 47.2141685    6.82    4.43 
2647 4174.92  6123.37 202.4698944 47.2142181    6.00    3.90 
2648 1681.56  6123.79 202.5208893 47.2142143    6.76    3.43 
2649  886.55  6127.60 202.5371399 47.2142563    7.81    4.64 
2650 3930.82  6127.43 202.4748840 47.2142754    9.01    4.83 
2651 1349.12  6129.06 202.5276794 47.2142830    8.06    3.97 
2652 1325.91  6129.61 202.5281525 47.2142906    7.74    3.87 
2653  986.01  6131.74 202.5351105 47.2143173    6.78    3.97 
2654 2460.90  6130.87 202.5049438 47.2143173    6.78    3.17 
2655 5096.88  6131.04 202.4510498 47.2143211    8.61    4.38 
2656 2443.81  6133.74 202.5052948 47.2143555    6.56    4.05 
2657 2743.90  6138.18 202.4991608 47.2144203    8.06    3.75 
2658 1083.05  6138.72 202.5331268 47.2144165    6.02    3.51 
2659 2162.82  6139.57 202.5110474 47.2144356    8.06    4.07 
2660 3689.13  6140.43 202.4798279 47.2144547    6.82    4.00 
2661 1613.37  6141.25 202.5222778 47.2144547    6.96    3.35 
2662 1928.46  6144.40 202.5158386 47.2145004    8.06    4.38 
2663 2426.70  6146.59 202.5056458 47.2145348    6.90    4.51 
2664 2488.15  6146.85 202.5043945 47.2145386    6.00    3.84 
2665 5424.67  6153.99 202.4443359 47.2146416    7.28    3.78 
2666 1745.83  6154.68 202.5195770 47.2146416    7.16    3.37 
2667 4496.02  6155.09 202.4633331 47.2146568    8.36    4.19 
2668 1360.59  6159.99 202.5274506 47.2147141    6.96    3.50 
2669 2390.66  6168.17 202.5063782 47.2148361    6.00    4.01 
2670 3724.54  6169.00 202.4791107 47.2148514    6.80    3.25 
2671 1406.36  6169.77 202.5265045 47.2148476    6.84    4.26 
2672 2238.17  6170.80 202.5095062 47.2148705    6.40    3.41 
2673 2266.00  6172.86 202.5089264 47.2149010    6.54    3.84 
2674 2461.47  6173.74 202.5049286 47.2149124    9.01    5.10 
2675  974.72  6175.15 202.5353394 47.2149200    6.46    3.13 
2676 2118.46  6177.28 202.5119476 47.2149582    8.36    4.62 
2677 2487.45  6176.72 202.5044098 47.2149544    6.52    3.18 
2678 2296.51  6179.15 202.5083160 47.2149887    6.94    3.46 
2679 3300.63  6178.94 202.4877777 47.2149887    8.06    3.89 
2680 2509.63  6184.18 202.5039520 47.2150574    6.52    3.34 
2681 2275.34  6185.90 202.5087433 47.2150803    6.56    2.81 
2682 2006.23  6187.48 202.5142517 47.2150993    6.00    3.96 
2683 2539.78  6189.76 202.5033417 47.2151375    6.74    3.20 
2684 6459.15  6189.01 202.4231873 47.2151184    8.06    4.52 
2685 1611.71  6189.64 202.5223083 47.2151260    6.76    3.46 
2686 1066.79  6192.11 202.5334625 47.2151566    7.74    4.17 
2687 1441.56  6197.20 202.5257874 47.2152290    6.90    3.38 
2688 2135.17  6197.60 202.5116119 47.2152405    7.58    4.21 
2689 1354.39  6203.93 202.5275726 47.2153244    7.51    3.98 
2690 1504.04  6204.44 202.5245209 47.2153320    6.80    3.28 
2691 2495.34  6204.46 202.5042419 47.2153397    6.56    3.38 
2692 2234.03  6213.05 202.5095825 47.2154579    6.78    3.12 
2693 4423.40  6217.05 202.4648132 47.2155190    9.94    5.50 
2694 2261.40  6221.66 202.5090332 47.2155762    6.56    3.17 
2695 2341.99  6222.10 202.5073853 47.2155838    6.56    3.72 
2696 1990.30  6226.30 202.5145721 47.2156410    8.76    4.57 
2697 6506.50  6228.02 202.4222260 47.2156601    6.72    3.30 
2698 1903.69  6231.69 202.5163422 47.2157135    6.78    3.04 
2699 3176.33  6238.28 202.4903259 47.2158127    8.06    4.01 
2700 2206.85  6238.95 202.5101471 47.2158165    6.78    3.46 
2701 2341.73  6239.86 202.5073853 47.2158318    6.72    3.12 
2702 1470.11  6241.94 202.5252075 47.2158508    6.80    3.50 
2703 2388.06  6249.35 202.5064392 47.2159615    6.88    3.67 
2704 7023.24  6249.23 202.4116516 47.2159500    8.06    3.95 
2705 2788.12  6250.32 202.4982605 47.2159767    7.86    4.52 
2706 1713.41  6251.82 202.5202332 47.2159920    6.78    2.93 
2707 2313.97  6253.23 202.5079498 47.2160149    6.82    3.77 
2708 1440.75  6254.32 202.5258026 47.2160225    6.54    2.77 
2709 1764.62  6257.06 202.5191803 47.2160645    6.96    3.93 
2710 3261.29  6258.56 202.4885864 47.2160950    8.26    4.61 
2711 4552.92  6257.50 202.4621735 47.2160797    8.06    4.59 
2712 2344.06  6260.23 202.5073395 47.2161140    6.88    3.09 
2713 2170.56  6262.01 202.5108795 47.2161369    6.72    3.22 
2714 2440.40  6262.68 202.5053711 47.2161484    6.56    3.29 
2715 3961.99  6262.40 202.4742584 47.2161484    8.06    5.08 
2716 4421.99  6262.86 202.4648438 47.2161560    6.46    3.26 
2717 1399.72  6263.18 202.5266418 47.2161484    7.91    3.77 
2718 1739.59  6264.43 202.5196991 47.2161674    6.78    3.30 
